Id,SalePrice
1,118113.7865
2,158191.6189
3,178143.6112
4,189879.9451
5,200571.2675
6,173391.471
7,173391.471
8,163182.4641
9,194981.0714
10,115437.0145
11,188509.3271
12,90525.85494
13,88813.52284
14,154871.7638
15,118804.9162
16,367435.4923
17,277590.9097
18,291588.8564
19,290939.2675
20,617808.9588
21,329522.2671
22,210820.3052
23,168496.4234
24,163500.2937
25,184814.7276
26,192791.87
27,320957.1613
28,240947.9098
29,195606.4043
30,214199.5729
31,189879.9451
32,91485.33536
33,189482.9368
34,309041.6178
35,309041.6178
36,221655.0329
37,184889.2113
38,168168.8818
39,162887.9148
40,154647.4565
41,173391.471
42,154647.4565
43,291588.8564
44,240947.9098
45,228834.0364
46,189482.9368
47,240947.9098
48,202904.6532
49,162887.9148
50,151401.9802
51,147433.2874
52,168801.1145
53,143050.9666
54,158499.7279
55,189482.9368
56,154647.4565
57,167129.5198
58,132890.7146
59,219742.7856
60,132483.4974
61,132677.4436
62,175192.9509
63,109422.4606
64,128428.0025
65,124313.7537
66,119100.7261
67,113201.4306
68,139262.1273
69,149815.4608
70,179957.1262
71,105926.2422
72,101904.6499
73,146385.0893
74,123898.5612
75,151494.608
76,109005.4345
77,57921.39387
78,163205.1707
79,206649.6376
80,93782.19904
81,141965.4334
82,138294.2955
83,184561.8699
84,81222.15931
85,118834.5304
86,137062.1882
87,131801.5264
88,139513.9506
89,117126.8607
90,134612.4953
91,113489.6935
92,132677.4436
93,152523.2376
94,118430.104
95,163205.1707
96,90063.69271
97,109022.7061
98,94086.87336
99,87355.21955
100,135252.9303
101,133998.4417
102,125396.6789
103,119811.6346
104,154647.4565
105,151483.4945
106,244490.3236
107,85147.36472
108,217910.1539
109,128477.737
110,139485.9827
111,123813.1073
112,142783.3047
113,227405.7871
114,116527.1075
115,215544.879
116,240165.7426
117,180875.5523
118,147081.5338
119,141965.4334
120,190673.6816
121,157405.6767
122,127362.8389
123,326900.688
124,225443.9273
125,139513.9506
126,61977.77107
127,107598.5528
128,141965.4334
129,95703.36623
130,134612.4953
131,90767.52846
132,118115.0214
133,127785.2168
134,127698.302
135,103476.1281
136,228834.0364
137,190275.0138
138,223889.9969
139,177771.1417
140,168801.1145
141,66040.61883
142,113849.0832
143,91954.62761
144,255703.0996
145,242715.1333
146,168496.4234
147,173391.471
148,216550.0851
149,180534.58
150,151825.3521
151,145937.3471
152,163182.4641
153,159238.5355
154,125527.0857
155,90512.78084
156,82526.79803
157,88597.22084
158,119811.6346
159,139513.9506
160,158191.6189
161,139299.3592
162,141782.8519
163,287776.6725
164,220148.5721
165,119910.6383
166,168496.4234
167,184889.2113
168,287776.6725
169,179957.1262
170,335692.3769
171,234854.6955
172,267652.1935
173,168496.4234
174,184889.2113
175,177771.1417
176,154647.4565
177,189879.9451
178,191550.5043
179,189482.9368
180,257747.6963
181,179957.1262
182,225695.8075
183,227405.7871
184,240947.9098
185,187375.1343
186,162887.9148
187,163205.1707
188,132677.4436
189,141293.2141
190,115140.8305
191,119811.6346
192,101299.9428
193,102007.6403
194,154871.7638
195,142503.7843
196,146036.943
197,157835.4266
198,154871.7638
199,129680.5409
200,158154.553
201,450686.8292
202,416032.5009
203,386128.1401
204,536246.7222
205,309041.6178
206,348564.8845
207,346231.4818
208,338021.8355
209,309041.6178
210,357030.5933
211,277590.9097
212,517344.3593
213,309041.6178
214,261808.7463
215,193905.975
216,190575.8705
217,220497.7964
218,510008.7227
219,386128.1401
220,310473.6801
221,249895.0171
222,319555.2005
223,180298.9285
224,173391.471
225,173391.471
226,168801.1145
227,168496.4234
228,189879.9451
229,190673.6816
230,195389.5995
231,179957.1262
232,265657.856
233,168496.4234
234,184502.6379
235,173391.471
236,273284.0847
237,173391.471
238,357030.5933
239,310397.4531
240,252435.0862
241,279746.0156
242,244490.3236
243,253568.9712
244,291588.8564
245,234854.6955
246,417208.3898
247,217806.3959
248,207223.6785
249,289342.5157
250,220021.9334
251,273568.9024
252,265146.8484
253,277590.9097
254,228834.0364
255,207460.9638
256,184502.6379
257,173391.471
258,141293.2141
259,208880.6043
260,244490.3236
261,163500.2937
262,129370.3628
263,158191.6189
264,211920.6885
265,231551.398
266,180334.1758
267,158191.6189
268,178143.6112
269,168168.8818
270,159238.5355
271,123547.1978
272,127698.302
273,111279.9925
274,121295.5831
275,133723.8031
276,114170.5089
277,326900.688
278,254718.8404
279,250675.5809
280,205245.1597
281,184502.6379
282,168801.1145
283,179957.1262
284,309041.6178
285,222168.3934
286,206049.5268
287,219742.7856
288,219351.8336
289,151401.9802
290,132835.6363
291,263774.188
292,123283.6158
293,147081.5338
294,203484.2683
295,168801.1145
296,127728.7676
297,119910.6383
298,145937.3471
299,168168.8818
300,163205.1707
301,151825.3521
302,177771.1417
303,179957.1262
304,119811.6346
305,158142.8418
306,184502.6379
307,212021.6427
308,142107.2127
309,173391.471
310,149442.5634
311,134612.4953
312,138294.2955
313,123890.4333
314,139083.0225
315,139513.9506
316,124471.028
317,111561.3577
318,141111.4971
319,119910.6383
320,173391.471
321,132677.4436
322,90092.38696
323,141293.2141
324,110079.9226
325,119608.2157
326,140509.6382
327,168496.4234
328,67216.97314
329,95486.40255
330,86791.20919
331,177771.1417
332,162887.9148
333,132890.7146
334,153879.1227
335,134612.4953
336,129015.8975
337,119608.2157
338,120221.0181
339,109783.9673
340,128585.5125
341,123722.6366
342,144319.7959
343,147081.5338
344,141293.2141
345,138294.2955
346,122601.9574
347,139680.2945
348,124896.3322
349,123969.3453
350,138952.247
351,95714.03549
352,87631.59057
353,123271.4981
354,98026.17778
355,53035.49327
356,91442.80783
357,109577.9516
358,143734.4541
359,119608.2157
360,46335.42852
361,117163.4292
362,149106.071
363,52140.66354
364,134612.4953
365,132084.5074
366,106917.5994
367,107312.9372
368,139513.9506
369,133538.0836
370,139513.9506
371,158191.6189
372,67614.35933
373,142783.3047
374,117798.5822
375,134206.9934
376,120221.0181
377,92741.87498
378,123775.9763
379,93506.47636
380,148639.1013
381,134612.4953
382,91458.07685
383,134612.4953
384,139485.9827
385,139795.413
386,158191.6189
387,170239.8027
388,47999.39731
389,112891.4983
390,118695.1575
391,150153.5542
392,123927.5987
393,129680.5409
394,168496.4234
395,159238.5355
396,223047.1639
397,142227.5297
398,132206.6474
399,119910.6383
400,146026.2298
401,119910.6383
402,310473.6801
403,309041.6178
404,309041.6178
405,317809.4449
406,316343.5463
407,240820.5626
408,289342.5157
409,200253.6231
410,228834.0364
411,245270.3343
