"","test_bor.Id","gmb_pred","glm_pred","rf_pred","xgb_pred"
"1461",0.1038768274707,129430.364049475,110440.673204265,125878.202433333,124112.8125
"1462",0.104987200630001,158228.674811539,168397.855385274,154927.7025,150959.3125
"1463",0.106097345965906,184033.934627832,191291.838976686,181332.8704,185715.03125
"1464",0.107207263680838,196219.828671461,199164.768174492,186929.834433333,195154.671875
"1465",0.108316953976897,194605.69383736,211040.969849968,196053.076133333,191837.0625
"1466",0.109426417055866,181923.372050157,167751.360725031,182648.4236,173264.03125
"1467",0.110535653119215,176128.369312949,180217.396824004,170538.6997,171217.40625
"1468",0.111644662368096,169973.686015299,154908.398112601,176084.503666667,169040.078125
"1469",0.112753445003345,176058.765323108,210124.788859112,180893.254766667,181410.703125
"1470",0.113862001225485,123834.739323239,117455.918290956,125583.860466667,123316.15625
"1471",0.114970331234725,210405.362493277,181413.037163259,201536.4051,196256.515625
"1472",0.116078435230961,98369.359298172,88144.6590239504,94827.8206333334,92622.1796875
"1473",0.117186313413776,87529.9178641993,86280.591423848,100106.394033333,97956.9296875
"1474",0.118293965982443,156566.116322215,155088.320458845,155166.173633333,154534.53125
"1475",0.119401393135922,136531.76569559,106660.930368476,131764.093519048,133950.453125
"1476",0.120508595072865,382772.665066389,380782.001883309,372324.450366666,380332.0625
"1477",0.121615571991611,249208.386748883,262523.1188163,250705.816433333,258755.921875
"1478",0.122722324090196,291108.822757696,304347.791988034,308649.972533333,305397.25
"1479",0.123828851566341,265492.635782744,299458.075018467,261603.3293,231409.578125
"1480",0.124935154617465,510757.056138179,430201.380556463,465658.310133333,495800.40625
"1481",0.126041233440677,344655.455632232,323182.028862624,317157.039966667,298101.4375
"1482",0.127147088232782,209988.150629779,210634.843511718,204889.732766667,205109.3125
"1483",0.128252719190278,166585.063309777,184592.947076929,177299.492366667,164041.859375
"1484",0.129358126509359,172628.554679461,154487.017848675,171764.2275,167773.734375
"1485",0.130463310385915,181258.844696602,185121.587143323,172283.960666667,168934.296875
